"","office","description","city","zip","state","parish","candidate","party","level","type","genoffice","race","gender"
"20","Associate Justice","5th Supreme Court District of Louisiana","New Orleans","70130","LA",NA,"Jeff Hughes","Republican","State","Judicial","Associate Justice","White","Male"
"21","Associate Justice","6th Supreme Court District of Louisiana","New Orleans","70130","LA",NA,"John L. Weimer","Other","State","Judicial","Associate Justice",NA,NA
"22","Associate Justice","7th Supreme Court District of Louisiana","New Orleans","70130","LA",NA,"Bernette Joshua Johnson","Democrat","State","Judicial","Associate Justice","Black or African American","Female"
"23","Judge, Court of Appeal","1st Cir., 2nd Dist., Subdist. 1, Div. A","Baton Rouge","70802","LA",NA,"Toni Manning Higginbotham","Republican","State","Judicial","Judge, Court of Appeal","White","Female"
"24","Judge, Court of Appeal","1st Cir., 2nd Dist., Subdist. 1, Div. B","Baton Rouge","70802","LA",NA,"""Mike"" McDonald","Republican","State","Judicial","Judge, Court of Appeal",NA,NA
"25","Judge, Court of Appeal","1st Cir., 2nd Dist., Subdist. 1, Div. C","Baton Rouge","70802","LA",NA,"Jewel E. ""Duke"" Welch","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"26","Judge, Court of Appeal","1st Cir., 2nd Dist., Subdist. 2, Div. D","Baton Rouge","70802","LA",NA,"John Michael Guidry","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Male"
"27","Judge, Court of Appeal","1st Circuit, 1st Dist., Elec. Sec. 1, Division C",NA,NA,NA,NA,"Guy Holdridge","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"28","Judge, Court of Appeal","1st Circuit, 1st District, Division A","Baton Rouge","70802","LA",NA,"John T. Pettigrew","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"29","Judge, Court of Appeal","1st Circuit, 1st District, Division B","Baton Rouge","70802","LA",NA,"Mitchell R. Theriot","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"30","Judge, Court of Appeal","1st Circuit, 1st District, Division D","Baton Rouge","70802","LA",NA,"Vanessa Guidry-Whipple","Democrat","State","Judicial","Judge, Court of Appeal","White","Female"
"31","Judge, Court of Appeal","1st Circuit, 3rd District, Division A","Baton Rouge","70802","LA",NA,"Wayne Ray Chutz","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"32","Judge, Court of Appeal","1st Circuit, 3rd District, Division B","Baton Rouge","70802","LA",NA,"Page McClendon","Republican","State","Judicial","Judge, Court of Appeal","White","Female"
"33","Judge, Court of Appeal","1st Circuit, 3rd District, Division C","Baton Rouge","70802","LA",NA,"Allison Hopkins Penzato","Republican","State","Judicial","Judge, Court of Appeal","White","Female"
"34","Judge, Court of Appeal","1st Circuit, 3rd District, Division D","Baton Rouge","70802","LA",NA,"William J. ""Will"" Crain","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"35","Judge, Court of Appeal","2nd Circuit, 1st Dist., Elec. Sect. 1C","Shreveport","71101","LA",NA,"Felicia Toney Williams","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"36","Judge, Court of Appeal","2nd Circuit, 1st Dist., Elec. Sect. 2A","Shreveport","71101","LA",NA,"James M. ""Jimbo"" Stephens","Other","State","Judicial","Judge, Court of Appeal","White","Male"
"37","Judge, Court of Appeal","2nd Circuit, 1st Dist., Elec. Sect. 2B","Shreveport","71101","LA",NA,"D. Milton Moore, III","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"38","Judge, Court of Appeal","2nd Circuit, 2nd Dist, Div. C","Shreveport","71101","LA",NA,"""Jeff"" Cox","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"39","Judge, Court of Appeal","2nd Circuit, 2nd Dist., Div. A","Shreveport","71101","LA",NA,"Jay B. McCallum","Other","State","Judicial","Judge, Court of Appeal","White","Male"
"40","Judge, Court of Appeal","2nd Circuit, 2nd Dist., Elec. Sec. 2","Shreveport","71101","LA",NA,"Henry Brown","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"41","Judge, Court of Appeal","2nd Circuit, 3rd Dist., Elec. Sect. 1A","Shreveport","71101","LA",NA,"Shonda Stone","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"42","Judge, Court of Appeal","2nd Circuit, 3rd Dist., Elec. Sect. 2B","Shreveport","71101","LA",NA,"Frances Pitman","Republican","State","Judicial","Judge, Court of Appeal","White","Female"
"43","Judge, Court of Appeal","2nd Circuit, 3rd Dist., Elec. Sect. 2C","Shreveport","71101","LA",NA,"Jeanette Garrett","Other","State","Judicial","Judge, Court of Appeal","White","Female"
"44","Judge, Court of Appeal","3rd Circuit, 1st District, Division A","Lake Charles","70601","LA",NA,"Elizabeth A. Pickett","Democrat","State","Judicial","Judge, Court of Appeal","White","Female"
"45","Judge, Court of Appeal","3rd Circuit, 1st District, Division B","Lake Charles","70601","LA",NA,"Van Kyzar","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"46","Judge, Court of Appeal","3rd Circuit, 1st District, Division C","Lake Charles","70601","LA",NA,"Shannon Gremillion","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"47","Judge, Court of Appeal","3rd Circuit, 2nd Dist., Elec. Sect. 1C","Lake Charles","70601","LA",NA,"Ulysses Gene Thibodeaux","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Male"
"48","Judge, Court of Appeal","3rd Circuit, 2nd Dist., Elec. Sect. 2A","Lake Charles","70601","LA",NA,"D. Kent Savoie","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"49","Judge, Court of Appeal","3rd Circuit, 2nd Dist., Elec. Sect. 2B","Lake Charles","70601","LA",NA,"Billy H. Ezell","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"50","Judge, Court of Appeal","3rd Circuit, 3rd Dist., Elec. Sect. 1C","Lake Charles","70601","LA",NA,"John Saunders","Democrat","State","Judicial","Judge, Court of Appeal","White",NA
"51","Judge, Court of Appeal","3rd Circuit, 3rd Dist., Elec. Sect. 2D","Lake Charles","70601","LA",NA,"Sylvia R. Cooks","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"52","Judge, Court of Appeal","3rd Circuit, 3rd Dist., Elec. Sect. 3E","Lake Charles","70601","LA",NA,"John E. Conery","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"53","Judge, Court of Appeal","3rd Circuit, 3rd Dist., Elec. Sect. 4F","Lake Charles","70601","LA",NA,"Marc Amy","Democrat","State","Judicial","Judge, Court of Appeal",NA,NA
"54","Judge, Court of Appeal","3rd Circuit, 3rd Dist., Elec. Sect. 5A","Lake Charles","70601","LA",NA,"Phyllis Montgomery Keaty","Republican","State","Judicial","Judge, Court of Appeal","White","Female"
"55","Judge, Court of Appeal","3rd Circuit, 3rd District, Division B","Lake Charles","70601","LA",NA,"Candyce Perret","Republican","State","Judicial","Judge, Court of Appeal","White","Female"
"56","Judge, Court of Appeal","4th Circuit at Large","New Orleans","70130","LA",NA,"Roland Belsome","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"57","Judge, Court of Appeal","4th Circuit at Large","New Orleans","70130","LA",NA,"James F. McKay, III","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"58","Judge, Court of Appeal","4th Circuit, 1st District, Division A","New Orleans","70130","LA",NA,"Edwin A. Lombard","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Male"
"59","Judge, Court of Appeal","4th Circuit, 1st District, Division B","New Orleans","70130","LA",NA,"Tiffany Gautier Chase","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"60","Judge, Court of Appeal","4th Circuit, 1st District, Division C","New Orleans","70130","LA",NA,"Paula Brown","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"61","Judge, Court of Appeal","4th Circuit, 1st District, Division D","New Orleans","70130","LA",NA,"Regina Bartholomew-Woods","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"62","Judge, Court of Appeal","4th Circuit, 1st District, Division E","New Orleans","70130","LA",NA,"Terri F. Love","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"63","Judge, Court of Appeal","4th Circuit, 1st District, Division F","New Orleans","70130","LA",NA,"Dale Atkins","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"64","Judge, Court of Appeal","4th Circuit, 1st District, Division G","New Orleans","70130","LA",NA,"Rose Ledet","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"65","Judge, Court of Appeal","4th Circuit, 1st District, Division H","New Orleans","70130","LA",NA,"Sandra Cabrina Jenkins","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Female"
"66","Judge, Court of Appeal","4th Circuit, 2nd District, Division A","New Orleans","70130","LA",NA,"Joyce Cossich ""Joy"" Lobrano","Republican","State","Judicial","Judge, Court of Appeal","White","Female"
"67","Judge, Court of Appeal","4th Circuit, 3rd District, Division A","New Orleans","70130","LA",NA,"Daniel L. Dysart","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"68","Judge, Court of Appeal","5th Circuit, 1st District, Election Section 1, Div. B","Gretna","70053","LA",NA,"Fredericka Homberg Wicker","Republican","State","Judicial","Judge, Court of Appeal","White","Female"
"69","Judge, Court of Appeal","5th Circuit, 1st District, Election Section 1, Div. D","Gretna","70053","LA",NA,"Susan M. Chehardy","Republican","State","Judicial","Judge, Court of Appeal","White","Female"
"70","Judge, Court of Appeal","5th Circuit, 1st District, Election Section 1, Div. E","Gretna","70053","LA",NA,"Stephen J. Windhorst","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"71","Judge, Court of Appeal","5th Circuit, 1st District, Election Section 1, Div. F","Gretna","70053","LA",NA,"Hans Liljeberg","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"72","Judge, Court of Appeal","5th Circuit, 1st District, Election Section 1, Div. G","Gretna","70053","LA",NA,"Robert M. Murphy","Republican","State","Judicial","Judge, Court of Appeal","White","Male"
"73","Judge, Court of Appeal","5th Circuit, 1st District, Election Section 2, Div. C","Gretna","70053","LA",NA,"Marc E. Johnson","Democrat","State","Judicial","Judge, Court of Appeal","Black or African American","Male"
"74","Judge, Court of Appeal","5th Circuit, 2nd District, Division A","Gretna","70053","LA",NA,"Jude G. Gravois","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"75","Judge, Court of Appeal","5th Circuit, 3rd District, Division A","Gretna","70053","LA",NA,"Robert A. Chaisson","Democrat","State","Judicial","Judge, Court of Appeal","White","Male"
"76","Public Service Commission","District 1","Baton Rouge","70821-9154","LA",NA,"Eric Skrmetta","Republican","State","Executive","Public Service Commission","White","Male"
"77","Public Service Commission","District 2","Baton Rouge","70884","LA",NA,"Craig C. Greene","Republican","State","Executive","Public Service Commission","White","Male"
"78","Public Service Commission","District 3","Baton Rouge","70821-9154","LA",NA,"Lambert C. Boissiere, III","Democrat","State","Executive","Public Service Commission","Black or African American","Male"
"79","Public Service Commission","District 4","Baton Rouge","70821-9154","LA",NA,"""Mike"" Francis","Republican","State","Executive","Public Service Commission","White","Male"
"80","Public Service Commission","District 5","Baton Rouge","70821-9154","LA",NA,"Foster Campbell","Democrat","State","Executive","Public Service Commission","White","Male"
"81","Member, BESE","District 1","Baton Rouge","70804-9064","LA",NA,"James ""Jim"" Garvey","Republican","State","Education","Member, BESE","White","Male"
"82","Member, BESE","District 2","Baton Rouge","70804-9064","LA",NA,"Kira Orange Jones","Democrat","State","Education","Member, BESE","Black or African American","Female"
"83","Member, BESE","District 3","Baton Rouge","70804-9064","LA",NA,"""Sandy"" LeBlanc Holloway","Republican","State","Education","Member, BESE","White","Female"
"84","Member, BESE","District 4","Baton Rouge","70804-9064","LA",NA,"Tony Davis","Republican","State","Education","Member, BESE","White","Male"
"85","Member, BESE","District 5","Baton Rouge","70804-9064","LA",NA,"Gary Jones","Republican","State","Education","Member, BESE","White","Male"
"86","Member, BESE","District 6","Baton Rouge","70804-9064","LA",NA,"Kathy Edmonston","Republican","State","Education","Member, BESE","White","Female"
"87","Member, BESE","District 7","Baton Rouge","70804-9064","LA",NA,"Holly Franks Boffy","Republican","State","Education","Member, BESE","White","Female"
"88","Member, BESE","District 8","Baton Rouge","70804-9064","LA",NA,"Jada Lewis","Democrat","State","Education","Member, BESE","Black or African American","Female"
"89","State Senator","1st Senatorial District","Baton Rouge","70804","LA",NA,"Sharon Hewitt","Republican","State","Legislative","State Senator","White","Female"
"90","State Senator","2nd Senatorial District","Baton Rouge","70804","LA",NA,"Edward ""Ed"" Price","Democrat","State","Legislative","State Senator","Black or African American","Male"
"91","State Senator","3rd Senatorial District","Baton Rouge","70804","LA",NA,"""J.P."" Morrell","Democrat","State","Legislative","State Senator","Black or African American","Male"
"92","State Senator","4th Senatorial District","Baton Rouge","70804","LA",NA,"Wesley Bishop","Democrat","State","Legislative","State Senator","Black or African American","Male"
"93","State Senator","5th Senatorial District","Baton Rouge","70804","LA",NA,"Karen Carter Peterson","Democrat","State","Legislative","State Senator",NA,"Female"
"94","State Senator","6th Senatorial District","Baton Rouge","70804","LA",NA,"Mack ""Bodi"" White","Republican","State","Legislative","State Senator","White","Male"
"95","State Senator","7th Senatorial District","Baton Rouge","70804","LA",NA,"Troy Carter","Democrat","State","Legislative","State Senator","Black or African American","Male"
"96","State Senator","8th Senatorial District","Baton Rouge","70804","LA",NA,"John A. Alario, Jr.","Republican","State","Legislative","State Senator","White","Male"
"97","State Senator","9th Senatorial District","Baton Rouge","70804","LA",NA,"Conrad Appel","Republican","State","Legislative","State Senator","White","Male"
"98","State Senator","10th Senatorial District","Baton Rouge","70804","LA",NA,"Daniel R. ""Danny"" Martiny","Republican","State","Legislative","State Senator","White","Male"
"99","State Senator","11th Senatorial District","Baton Rouge","70804","LA",NA,"""Jack"" Donahue","Republican","State","Legislative","State Senator","White","Male"
"100","State Senator","12th Senatorial District","Baton Rouge","70804","LA",NA,"""Beth"" Mizell","Republican","State","Legislative","State Senator","White","Female"
"101","State Senator","13th Senatorial District","Baton Rouge","70804","LA",NA,"Dale Erdey","Republican","State","Legislative","State Senator","White","Male"
"102","State Senator","14th Senatorial District","Baton Rouge","70804","LA",NA,"Yvonne Dorsey","Democrat","State","Legislative","State Senator","Black or African American","Female"
"103","State Senator","15th Senatorial District","Baton Rouge","70804","LA",NA,"Regina Barrow","Democrat","State","Legislative","State Senator","Black or African American","Female"
"104","State Senator","16th Senatorial District","Baton Rouge","70804","LA",NA,"""Dan"" Claitor","Republican","State","Legislative","State Senator","White","Male"
"105","State Senator","17th Senatorial District","Baton Rouge","70804","LA",NA,"""Rick"" Ward, III","Republican","State","Legislative","State Senator","White","Male"
"106","State Senator","18th Senatorial District","Baton Rouge","70804","LA",NA,"Eddie Lambert","Republican","State","Legislative","State Senator","White","Male"
"107","State Senator","19th Senatorial District","Baton Rouge","70804","LA",NA,"Gary L. Smith, Jr.","Democrat","State","Legislative","State Senator","White","Male"
"108","State Senator","20th Senatorial District","Baton Rouge","70804","LA",NA,"Norbert ""Norby"" Chabert","Republican","State","Legislative","State Senator","Other","Male"
"109","State Senator","21st Senatorial District","Baton Rouge","70804","LA",NA,"R. L. ""Bret"" Allain, II","Republican","State","Legislative","State Senator","White","Male"
"110","State Senator","22nd Senatorial District","Baton Rouge","70804","LA",NA,"Fred ""T-Fred"" Mills, Jr.","Republican","State","Legislative","State Senator","White","Male"
"111","State Senator","23rd Senatorial District","Baton Rouge","70804","LA",NA,"Patrick Page Cortez","Republican","State","Legislative","State Senator","White","Male"
"112","State Senator","24th Senatorial District","Baton Rouge","70804","LA",NA,"Gerald Boudreaux","Democrat","State","Legislative","State Senator","Black or African American","Male"
"113","State Senator","25th Senatorial District","Baton Rouge","70804","LA",NA,"Dan W. ""Blade"" Morrish","Republican","State","Legislative","State Senator","White","Male"
"114","State Senator","26th Senatorial District","Baton Rouge","70804","LA",NA,"Jonathan Perry","Republican","State","Legislative","State Senator","White","Male"
"115","State Senator","27th Senatorial District","Baton Rouge","70804","LA",NA,"Ronnie Johns","Republican","State","Legislative","State Senator","White","Male"
"116","State Senator","28th Senatorial District","Baton Rouge","70804","LA",NA,"Eric LaFleur","Democrat","State","Legislative","State Senator","White","Male"
"117","State Senator","29th Senatorial District","Baton Rouge","70804","LA",NA,"Jay Luneau","Democrat","State","Legislative","State Senator","White","Male"
"118","State Senator","30th Senatorial District","Baton Rouge","70804","LA",NA,"John Smith","Republican","State","Legislative","State Senator","White","Male"
"119","State Senator","31st Senatorial District","Baton Rouge","70804","LA",NA,"Gerald Long","Republican","State","Legislative","State Senator","White","Male"
"120","State Senator","32nd Senatorial District","Baton Rouge","70804","LA",NA,"Neil Riser","Republican","State","Legislative","State Senator","White","Male"
"121","State Senator","33rd Senatorial District","Baton Rouge","70804","LA",NA,"Michael A. ""Mike"" Walsworth","Republican","State","Legislative","State Senator","White","Male"
"122","State Senator","34th Senatorial District","Baton Rouge","70804","LA",NA,"Francis Thompson","Democrat","State","Legislative","State Senator","White","Male"
"123","State Senator","35th Senatorial District","Baton Rouge","70804","LA",NA,"James R. ""Jim"" Fannin","Republican","State","Legislative","State Senator","White","Male"
"124","State Senator","36th Senatorial District","Baton Rouge","70804","LA",NA,"Ryan Gatti","Republican","State","Legislative","State Senator","White","Male"
"125","State Senator","37th Senatorial District","Baton Rouge","70804","LA",NA,"Barrow Peacock","Republican","State","Legislative","State Senator","White","Male"
"126","State Senator","38th Senatorial District","Baton Rouge","70804","LA",NA,"John Milkovich","Democrat","State","Legislative","State Senator","White","Male"
"127","State Senator","39th Senatorial District","Baton Rouge","70804","LA",NA,"Gregory Tarver","Democrat","State","Legislative","State Senator","Black or African American","Male"
"128","State Representative","1st Representative District","Baton Rouge","70804","LA",NA,"James H. ""Jim"" Morris","Republican","State","Legislative","State Representative","White","Male"
"129","State Representative","2nd Representative District","Baton Rouge","70804","LA",NA,"Samuel L. ""Sam"" Jenkins, Jr.","Democrat","State","Legislative","State Representative","Black or African American","Male"
"130","State Representative","3rd Representative District","Baton Rouge","70804","LA",NA,"Barbara Norton","Democrat","State","Legislative","State Representative","Black or African American","Female"
"131","State Representative","4th Representative District","Baton Rouge","70804","LA",NA,"Cedric B. Glover","Democrat","State","Legislative","State Representative","Black or African American","Male"
"132","State Representative","5th Representative District","Baton Rouge","70804","LA",NA,"Alan Seabaugh","Republican","State","Legislative","State Representative","White","Male"
"133","State Representative","6th Representative District","Baton Rouge","70804","LA",NA,"Thomas Gaughan Carmody, Jr.","Republican","State","Legislative","State Representative","White","Male"
"134","State Representative","7th Representative District","Baton Rouge","70804","LA",NA,"Lawrence A. ""Larry"" Bagley","Republican","State","Legislative","State Representative","White","Male"
"135","State Representative","8th Representative District","Baton Rouge","70804","LA",NA,"Raymond Crews","Republican","State","Legislative","State Representative","White","Male"
"136","State Representative","9th Representative District","Baton Rouge","70804","LA",NA,"""Dodie"" Horton","Republican","State","Legislative","State Representative","White","Female"
"137","State Representative","10th Representative District","Baton Rouge","70804","LA",NA,NA,NA,"State","Legislative","State Representative",NA,NA
"138","State Representative","11th Representative District","Baton Rouge","70804","LA",NA,"Patrick Jefferson","Democrat","State","Legislative","State Representative","Black or African American","Male"
"139","State Representative","12th Representative District","Baton Rouge","70804","LA",NA,"""Rob"" Shadoin","Republican","State","Legislative","State Representative","White","Male"
"140","State Representative","13th Representative District","Baton Rouge","70804","LA",NA,"Jack McFarland","Republican","State","Legislative","State Representative","White","Male"
"141","State Representative","14th Representative District","Baton Rouge","70804","LA",NA,"""Jay"" Morris","Republican","State","Legislative","State Representative","White","Male"
"142","State Representative","15th Representative District","Baton Rouge","70804","LA",NA,"Frank Hoffmann","Republican","State","Legislative","State Representative","White","Male"
"143","State Representative","16th Representative District","Baton Rouge","70804","LA",NA,"Katrina Jackson","Democrat","State","Legislative","State Representative","Black or African American","Female"
"144","State Representative","17th Representative District","Baton Rouge","70804","LA",NA,"Marcus Hunter","Democrat","State","Legislative","State Representative","Black or African American","Male"
"145","State Representative","18th Representative District","Baton Rouge","70804","LA",NA,"Major Thibaut","Democrat","State","Legislative","State Representative","White","Male"
"146","State Representative","19th Representative District","Baton Rouge","70804","LA",NA,"Charles R. ""Bubba"" Chaney","Republican","State","Legislative","State Representative","White","Male"
"147","State Representative","20th Representative District","Baton Rouge","70804","LA",NA,"Steven E. ""Steve"" Pylant","Republican","State","Legislative","State Representative","White","Male"
"148","State Representative","21st Representative District","Baton Rouge","70804","LA",NA,"""Andy"" Anders","Democrat","State","Legislative","State Representative","White","Male"
"149","State Representative","22nd Representative District","Baton Rouge","70804","LA",NA,"Terry Brown","Other","State","Legislative","State Representative","White","Male"
"150","State Representative","23rd Representative District","Baton Rouge","70804","LA",NA,"Kenny Cox","Democrat","State","Legislative","State Representative","Black or African American","Male"
"151","State Representative","24th Representative District","Baton Rouge","70804","LA",NA,"""Frankie"" Howard","Republican","State","Legislative","State Representative","White","Male"
"152","State Representative","25th Representative District","Baton Rouge","70804","LA",NA,"Lance Harris","Republican","State","Legislative","State Representative","White","Male"
"153","State Representative","26th Representative District","Baton Rouge","70804","LA",NA,"""Jeff"" Hall","Democrat","State","Legislative","State Representative","Black or African American","Male"
"154","State Representative","27th Representative District","Baton Rouge","70804","LA",NA,"""Chris"" Hazel","Republican","State","Legislative","State Representative","White","Male"
"155","State Representative","28th Representative District","Baton Rouge","70804","LA",NA,"Robert Johnson","Democrat","State","Legislative","State Representative","White","Male"
"156","State Representative","29th Representative District","Baton Rouge","70804","LA",NA,"Edmond Jordan","Democrat","State","Legislative","State Representative","Black or African American","Male"
"157","State Representative","30th Representative District","Baton Rouge","70804","LA",NA,"James Armes, III","Democrat","State","Legislative","State Representative","White","Male"
"158","State Representative","31st Representative District","Baton Rouge","70804","LA",NA,"Nancy Landry","Republican","State","Legislative","State Representative","White","Female"
"159","State Representative","32nd Representative District","Baton Rouge","70804","LA",NA,"Dorothy Sue Hill","Democrat","State","Legislative","State Representative","White","Female"
"160","State Representative","33rd Representative District","Baton Rouge","70804","LA",NA,NA,NA,"State","Legislative","State Representative",NA,NA
"161","State Representative","34th Representative District","Baton Rouge","70804","LA",NA,"""A. B."" Franklin","Democrat","State","Legislative","State Representative","Black or African American","Male"
"162","State Representative","35th Representative District","Baton Rouge","70804","LA",NA,"Stephen Dwight","Republican","State","Legislative","State Representative","White","Male"
"163","State Representative","36th Representative District","Baton Rouge","70804","LA",NA,"Mark Abraham","Republican","State","Legislative","State Representative","White","Male"
"164","State Representative","37th Representative District","Baton Rouge","70804","LA",NA,"John E. ""Johnny"" Guinn","Republican","State","Legislative","State Representative","White","Male"
"165","State Representative","38th Representative District","Baton Rouge","70804","LA",NA,"H. Bernard LeBas","Democrat","State","Legislative","State Representative","White","Male"
"166","State Representative","39th Representative District","Baton Rouge","70804","LA",NA,"Julie Emerson","Republican","State","Legislative","State Representative","White","Female"
"167","State Representative","40th Representative District","Baton Rouge","70804","LA",NA,"Dustin Miller","Democrat","State","Legislative","State Representative","Black or African American","Male"
"168","State Representative","41st Representative District","Baton Rouge","70804","LA",NA,"Phillip DeVillier","Republican","State","Legislative","State Representative","White","Male"
"169","State Representative","42nd Representative District","Baton Rouge","70804","LA",NA,"John Stefanski","Republican","State","Legislative","State Representative","White","Male"
"170","State Representative","43rd Representative District","Baton Rouge","70804","LA",NA,"Stuart Bishop","Republican","State","Legislative","State Representative","White","Male"
"171","State Representative","44th Representative District","Baton Rouge","70804","LA",NA,"Vincent J. Pierre","Democrat","State","Legislative","State Representative","Black or African American","Male"
"172","State Representative","45th Representative District","Baton Rouge","70804","LA",NA,"Jean-Paul Coussan","Republican","State","Legislative","State Representative","White","Male"
"173","State Representative","46th Representative District","Baton Rouge","70804","LA",NA,"""Mike Pete"" Huval","Republican","State","Legislative","State Representative","White","Male"
"174","State Representative","47th Representative District","Baton Rouge","70804","LA",NA,"""Bob"" Hensgens","Republican","State","Legislative","State Representative","White","Male"
"175","State Representative","48th Representative District","Baton Rouge","70804","LA",NA,"Taylor Barras","Republican","State","Legislative","State Representative","White","Male"
"176","State Representative","49th Representative District","Baton Rouge","70804","LA",NA,"Blake Miguez","Republican","State","Legislative","State Representative","White","Male"
"177","State Representative","50th Representative District","Baton Rouge","70804","LA",NA,"Sam Jones","Democrat","State","Legislative","State Representative","White","Male"
"178","State Representative","51st Representative District","Baton Rouge","70804","LA",NA,"Beryl Adams Amedee","Republican","State","Legislative","State Representative","White","Female"
"179","State Representative","52nd Representative District","Baton Rouge","70804","LA",NA,"Jerome ""Zee"" Zeringue","Republican","State","Legislative","State Representative","White","Male"
"180","State Representative","53rd Representative District","Baton Rouge","70804","LA",NA,"Tanner Magee","Republican","State","Legislative","State Representative","White","Male"
"181","State Representative","54th Representative District","Baton Rouge","70804","LA",NA,"Jerry ""Truck"" Gisclair","Democrat","State","Legislative","State Representative","White","Male"
"182","State Representative","55th Representative District","Baton Rouge","70804","LA",NA,"Jerome ""Dee"" Richard","Other","State","Legislative","State Representative","White","Male"
