,party,votes,district,candidate,parish,n_rep,n_other,sex,n_dem,n_can,n_nopty,year,position,estimate_confidence
125,DEM,266,"District E, City of Opelousas",Paul Gennuso ,St. Landry,0,0,m,5,5,0,2014,Alderman,0.995449657970713
126,DEM,101,"District E, City of Opelousas",Paul J. Scott ,St. Landry,0,0,m,5,5,0,2014,Alderman,0.995449657970713
127,DEM,257,"District E, City of Ville Platte",Donald Sam ,Evangeline,0,0,m,3,3,0,2014,Alderman,0.995398079943256
128,DEM,138,"District E, City of Ville Platte",Earl Edward ,Evangeline,0,0,m,3,3,0,2014,Alderman,0.9912093836133593
129,DEM,182,"District E, City of Ville Platte",Jerry Bottley ,Evangeline,0,0,m,3,3,0,2014,Alderman,0.974761974032612
130,OTHER,127,"District E, Town of Delhi",Caroline Christman ,Richland,0,1,f,1,2,0,2014,Alderman,0.9976513853031543
131,DEM,168,"District E, Town of Delhi","W. B. ""Dub"" Sumner ",Richland,0,1,,1,2,0,2014,Alderman,0
132,DEM,195,"District F, City of Ville Platte",Bryant Riggs ,Evangeline,0,0,m,3,3,0,2014,Alderman,0.9922810643543577
133,DEM,121,"District F, City of Ville Platte","Nathaniel ""Nat"" Thomas ",Evangeline,0,0,m,3,3,0,2014,Alderman,0.9914282459387478
134,DEM,152,"District F, City of Ville Platte",Shounda Smith Jack ,Evangeline,0,0,f,3,3,0,2014,Alderman,1.0
135,DEM,265,"Division A, Village of Rosedale",Carroll Devillier ,Iberville,1,0,m,1,2,0,2016,Alderman,0.7909529725669063
136,REP,241,"Division A, Village of Rosedale",Tricia Major Hurdle ,Iberville,1,0,f,1,2,0,2016,Alderman,0.9977024725241197
137,OTHER,272,"Division C, Village of Rosedale",Dana N. Alexander ,Iberville,0,1,f,1,2,0,2016,Alderman,0.7942383574100644
138,DEM,214,"Division C, Village of Rosedale",Madonna Hutchinson ,Iberville,0,1,f,1,2,0,2016,Alderman,1.0
139,REP,1045,"Seat A, Town of Ball","""Gail"" Wilking ",Rapides,1,0,f,1,2,0,2014,Alderman,0.978382195688619
140,DEM,389,"Seat A, Town of Ball","Christine ""Chris"" Covington ",Rapides,1,0,f,1,2,0,2014,Alderman,0.996728324862441
141,REP,272,"Seat B, Town of Ball","""Joey"" Short ",Rapides,2,0,m,1,3,0,2014,Alderman,0.9076394061709203
142,REP,359,"Seat B, Town of Ball","Curtis ""Buster"" Robertson ",Rapides,2,0,m,1,3,0,2014,Alderman,0.9911811561390508
143,DEM,822,"Seat B, Town of Ball",Suzanne Duncan-Furby ,Rapides,2,0,f,1,3,0,2014,Alderman,0.997769050103668
144,REP,685,"Seat C, Town of Ball",Gene Decker ,Rapides,1,0,m,1,3,1,2014,Alderman,0.9634065411309475
145,NOPTY,423,"Seat C, Town of Ball",Kimberly Lambright ,Rapides,1,0,f,1,3,1,2014,Alderman,0.9948885820067677
146,DEM,339,"Seat C, Town of Ball",Willie Bishop ,Rapides,1,0,m,1,3,1,2014,Alderman,0.8245478946169532
147,DEM,260,"Seat D, Town of Ball",Fay Giddings ,Rapides,1,0,f,2,3,0,2014,Alderman,0.9424548852340612
148,REP,618,"Seat D, Town of Ball",Kimberley Krischke ,Rapides,1,0,f,2,3,0,2014,Alderman,0.9941067857682235
149,DEM,575,"Seat D, Town of Ball",Terry B. Rutherford ,Rapides,1,0,m,2,3,0,2014,Alderman,0.7933753306521132
150,DEM,704,"Seat E, Town of Ball","""Genny"" Poteet ",Rapides,0,0,f,2,2,0,2014,Alderman,1.0
151,DEM,703,"Seat E, Town of Ball","John Cearley, Sr. ",Rapides,0,0,m,2,2,0,2014,Alderman,0.9954070242261275
152,DEM,455,Town of Erath,"Michael ""Mike"" Richard ",Vermilion,1,0,m,1,2,0,2016,Alderman,0.9942998490435268
153,REP,491,Town of Erath,Taylor Mencacci ,Vermilion,1,0,,1,2,0,2016,Alderman,0
154,DEM,421,Town of Port Barre,Nelson Barron ,St. Landry,1,0,m,1,2,0,2016,Alderman,0.993053039431918
155,REP,368,Town of Port Barre,Sammy Wayne Hardy II ,St. Landry,1,0,m,1,2,0,2016,Alderman,0.9704025389419296
156,DEM,95,Village of Clarence,Carolyn Sawyer ,Natchitoches,0,0,f,2,2,0,2016,Alderman,0.9973375107012017
157,DEM,117,Village of Clarence,Irma Lee Anthony ,Natchitoches,0,0,f,2,2,0,2016,Alderman,0.9961031708923187
158,REP,65,Village of Dodson,Candace Coonce ,Winn,1,0,f,2,3,0,2016,Alderman,0.997818866191321
159,DEM,60,Village of Dodson,Danny Browning ,Winn,1,0,m,2,3,0,2016,Alderman,0.994390076673969
160,DEM,56,Village of Dodson,Sandra L. Holden ,Winn,1,0,f,2,3,0,2016,Alderman,0.9971827629978488
161,NOPTY,66,Village of Dry Prong,"""Lisa"" Holton ",Grant,1,0,f,0,2,1,2016,Alderman,0.9971870545600628
162,REP,137,Village of Dry Prong,"Billy R. Chandler, Sr. ",Grant,1,0,m,0,2,1,2016,Alderman,0.9859946135442302
163,OTHER,22,"Ward  1, City of Rayne","""Jim"" Salter ",Acadia,1,1,m,2,4,0,2014,Alderman,0.9962415239136049
164,DEM,351,"Ward  1, City of Rayne","Anna ""Ann"" Domingue-Washington ",Acadia,1,1,f,2,4,0,2014,Alderman,0.9964472846486572
165,DEM,343,"Ward  1, City of Rayne",Curtrese Minix ,Acadia,1,1,,2,4,0,2014,Alderman,0
166,REP,90,"Ward  1, City of Rayne",Romel Charles ,Acadia,1,1,m,2,4,0,2014,Alderman,1.0
167,DEM,119,"Ward  1, Town of Church Point","Adrian ""A D"" Duplechain ",Acadia,0,0,m,3,3,0,2014,Alderman,0.8690607348475092
168,DEM,84,"Ward  1, Town of Church Point",Debra Guidry Thomas ,Acadia,0,0,f,3,3,0,2014,Alderman,0.9980319958133039
169,DEM,251,"Ward  1, Town of Church Point",Gene Malbrough ,Acadia,0,0,m,3,3,0,2014,Alderman,0.9634065411309475
170,NOPTY,103,"Ward  1, Town of Vivian","""Mandi"" Gildon Burton ",Caddo,0,0,f,0,2,2,2014,Alderman,1.0
171,NOPTY,78,"Ward  1, Town of Vivian",Glenn Miles ,Caddo,0,0,m,0,2,2,2014,Alderman,0.993056409614462
172,NOPTY,197,"Ward  2, City of Rayne","Aleke V. Kanonu, Jr. ",Acadia,0,1,,1,3,1,2014,Alderman,0
173,OTHER,285,"Ward  2, City of Rayne",Kenneth Guidry ,Acadia,0,1,m,1,3,1,2014,Alderman,0.995116846001582
174,DEM,266,"Ward  2, City of Rayne",Larry J. Menard ,Acadia,0,1,m,1,3,1,2014,Alderman,0.9947791551761931
175,NOPTY,159,"Ward  2, Town of Vivian",Denise Powell Alexander ,Caddo,1,0,f,0,2,1,2014,Alderman,0.9964864182704503
176,REP,108,"Ward  2, Town of Vivian",Robert L. Furlong ,Caddo,1,0,m,0,2,1,2014,Alderman,0.9952560453690997
177,DEM,446,"Ward  3, City of Rayne",Calise Michael Doucet ,Acadia,0,0,f,2,2,0,2014,Alderman,1.0
178,DEM,409,"Ward  3, City of Rayne","Daniel ""Big D"" Venable ",Acadia,0,0,m,2,2,0,2014,Alderman,0.9947209649748667
179,DEM,747,"Ward  3, Division B, City of Crowley",Ezora J. Proctor ,Acadia,0,0,f,2,2,0,2014,Alderman,1.0
180,DEM,228,"Ward  3, Division B, City of Crowley",Walter Andrus ,Acadia,0,0,m,2,2,0,2014,Alderman,0.9930778775246247
181,REP,108,"Ward  3, Town of Church Point",Diane Fonte ,Acadia,2,0,f,0,2,0,2014,Alderman,0.9975369731537768
182,REP,217,"Ward  3, Town of Church Point",Gary J. Duplechin ,Acadia,2,0,m,0,2,0,2014,Alderman,0.9959022097468163
183,DEM,20,"Ward  3, Town of Vivian",Gary Teer ,Caddo,1,0,m,2,3,0,2014,Alderman,0.9959022097468163
184,REP,214,"Ward  3, Town of Vivian",Judy Wilson ,Caddo,1,0,f,2,3,0,2014,Alderman,0.9974578717640659
185,DEM,52,"Ward  3, Town of Vivian",Monique Brown ,Caddo,1,0,f,2,3,0,2014,Alderman,0.9941370493820461
186,DEM,190,"Ward  4, City of Rayne","Elaine ""Mama Wolf"" Sias ",Acadia,0,0,f,3,3,0,2014,Alderman,0.997783483462314
187,DEM,311,"Ward  4, City of Rayne",Gerald Foreman ,Acadia,0,0,m,3,3,0,2014,Alderman,0.9937664702958089
188,DEM,430,"Ward  4, City of Rayne","James ""Jimmy"" Fontenot ",Acadia,0,0,m,3,3,0,2014,Alderman,0.9948946927250034
189,DEM,87,"Ward  4, Division B, City of Crowley","""Mike"" Ritchie ",Acadia,1,0,m,2,3,0,2014,Alderman,0.9962674737321997
190,DEM,516,"Ward  4, Division B, City of Crowley","""Tim"" Monceaux ",Acadia,1,0,m,2,3,0,2014,Alderman,0.9973646155847874
191,REP,293,"Ward  4, Division B, City of Crowley","John ""Larry"" DuBose ",Acadia,1,0,m,2,3,0,2014,Alderman,0.9954070242261275
192,DEM,61,"Ward  4, Town of Church Point","""Cathy Barousse"" Perkins ",Acadia,1,0,f,2,3,0,2014,Alderman,0.998109826027423
193,REP,120,"Ward  4, Town of Church Point","""Chris"" LeBas ",Acadia,1,0,m,2,3,0,2014,Alderman,0.83895278593768
194,DEM,187,"Ward  4, Town of Church Point",Robert Dale Wimberley ,Acadia,1,0,m,2,3,0,2014,Alderman,0.9952560453690997
195,NOPTY,36,"Ward  4, Town of Vivian",Amanda Florence ,Caddo,0,0,f,2,3,1,2014,Alderman,0.9969042670927849
196,DEM,64,"Ward  4, Town of Vivian",David Cole ,Caddo,0,0,m,2,3,1,2014,Alderman,0.9958660209367381
197,DEM,107,"Ward  4, Town of Vivian",Raymond Earl Williams ,Caddo,0,0,m,2,3,1,2014,Alderman,0.9942180892480348
198,DEM,92,"Ward  5, Town of Church Point",Donald LeJeune ,Acadia,0,0,m,2,2,0,2014,Alderman,0.995398079943256
199,DEM,171,"Ward  5, Town of Church Point","Errol ""Slu"" Comeaux ",Acadia,0,0,m,2,2,0,2014,Alderman,1.0
200,DEM,300,"Ward 1, City of Eunice",Jason Bertrand ,St. Landry,1,0,m,2,3,0,2014,Alderman,0.9942578919054537
201,REP,186,"Ward 1, City of Eunice",Jeremy Ortego ,St. Landry,1,0,m,2,3,0,2014,Alderman,0.9934719422872179
202,DEM,291,"Ward 1, City of Eunice",Marshall A. Thibodeaux ,St. Landry,1,0,m,2,3,0,2014,Alderman,0.9805853857551793
203,DEM,342,"Ward 1, City of Ruston","""Fred"" Blake ",Lincoln,0,0,m,3,3,0,2014,Alderman,0.9940848274552908
204,DEM,297,"Ward 1, City of Ruston",Carolyn B. Elmore-Cage ,Lincoln,0,0,f,3,3,0,2014,Alderman,0.9973375107012017
205,DEM,171,"Ward 1, City of Ruston",Glenda Howard ,Lincoln,0,0,f,3,3,0,2014,Alderman,0.9976780104093809
206,DEM,469,"Ward 2, City of Ruston",Angela Mayfield ,Lincoln,0,0,f,3,3,0,2014,Alderman,0.9968431373129594
207,DEM,168,"Ward 2, City of Ruston",Rosalind Jones ,Lincoln,0,0,f,3,3,0,2014,Alderman,1.0
