"","position","district","candidate","year","parish","party","votes","n_can","n_dem","n_rep","n_nopty","n_other","genoffice"
"32","Alderman","District 1, Town of Basile","Frank Ceasar, Sr. ",2014,"Multi-Parish Race","DEM",71,2,2,0,0,0,"Alderman"
"33","Alderman","District 1, Town of Benton","Jacqueline Neal Carr ",2016,"Bossier","DEM",72,2,1,1,0,0,"Alderman"
"34","Alderman","District 1, Town of Benton","Willie Kelly ",2016,"Bossier","REP",37,2,1,1,0,0,"Alderman"
"35","Alderman","District 1, Town of Delcambre","Amanda ""Mandy"" Thibodeaux ",2016,"Multi-Parish Race","NOPTY",87,2,0,1,1,0,"Alderman"
"36","Alderman","District 1, Town of Delcambre","Madison Saunier ",2016,"Multi-Parish Race","REP",89,2,0,1,1,0,"Alderman"
"37","Alderman","District 1, Town of Sunset","Carroll ""Hook"" Willingham ",2014,"St. Landry","DEM",87,3,3,0,0,0,"Alderman"
"38","Alderman","District 1, Town of Sunset","Craig B. Belson, Sr. ",2014,"St. Landry","DEM",125,3,3,0,0,0,"Alderman"
"39","Alderman","District 1, Town of Sunset","J. Darrell Burleigh ",2014,"St. Landry","DEM",95,3,3,0,0,0,"Alderman"
"40","Alderman","District 2, City of Marksville","Chris ""T-Chris"" Lachney ",2014,"Avoyelles","DEM",183,2,2,0,0,0,"Alderman"
"41","Alderman","District 2, City of Marksville","Michael ""Mike"" Gremillion ",2014,"Avoyelles","DEM",217,2,2,0,0,0,"Alderman"
"42","Alderman","District 2, City of Springhill","Dennis Smith ",2014,"Webster","DEM",133,2,1,0,1,0,"Alderman"
"43","Alderman","District 2, City of Springhill","Soloman ""Pete"" Porter, Jr. ",2014,"Webster","NOPTY",81,2,1,0,1,0,"Alderman"
"44","Alderman","District 2, Town of Delcambre","Donald Shelvin, Jr. ",2016,"Vermilion","DEM",58,2,2,0,0,0,"Alderman"
"45","Alderman","District 2, Town of Delcambre","Sarah A. Trahan ",2016,"Vermilion","DEM",141,2,2,0,0,0,"Alderman"
"46","Alderman","District 2, Town of Gramercy","Jody M. Bourgeois ",2014,"St. James","DEM",355,2,2,0,0,0,"Alderman"
"47","Alderman","District 2, Town of Gramercy","Shelly M. Warren ",2014,"St. James","DEM",104,2,2,0,0,0,"Alderman"
"48","Alderman","District 2, Town of Sunset","Cheryl Monroe ",2014,"St. Landry","DEM",156,3,2,0,1,0,"Alderman"
"49","Alderman","District 2, Town of Sunset","Melissa Primeaux ",2014,"St. Landry","NOPTY",63,3,2,0,1,0,"Alderman"
"50","Alderman","District 2, Town of Sunset","Robert L. ""R. L."" Carmouche ",2014,"St. Landry","DEM",128,3,2,0,1,0,"Alderman"
"51","Alderman","District 3, City of Marksville","Elliot ""Pete 3 Pete"" Jordan, Jr. ",2014,"Avoyelles","DEM",83,2,2,0,0,0,"Alderman"
"52","Alderman","District 3, City of Marksville","Mary E. Sampson ",2014,"Avoyelles","DEM",188,2,2,0,0,0,"Alderman"
"53","Alderman","District 3, Town of Mamou","Charles Reed ",2014,"Evangeline","DEM",98,4,3,1,0,0,"Alderman"
"54","Alderman","District 3, Town of Mamou","Derryl ""T-Glyn"" Brunet ",2014,"Evangeline","DEM",76,4,3,1,0,0,"Alderman"
"55","Alderman","District 3, Town of Mamou","Jodie Gautreaux ",2014,"Evangeline","REP",50,4,3,1,0,0,"Alderman"
"56","Alderman","District 3, Town of Mamou","Ted Lavergne ",2014,"Evangeline","DEM",36,4,3,1,0,0,"Alderman"
"57","Alderman","District 3, Town of Newellton","Billy Mitchell ",2016,"Tensas","DEM",47,2,2,0,0,0,"Alderman"
"58","Alderman","District 3, Town of Newellton","Richard Dunmore ",2016,"Tensas","DEM",51,2,2,0,0,0,"Alderman"
"59","Alderman","District 3, Town of Sunset","Gary Bonvillain ",2014,"St. Landry","REP",114,2,1,1,0,0,"Alderman"
"60","Alderman","District 3, Town of Sunset","Jarrod Shaw ",2014,"St. Landry","DEM",125,2,1,1,0,0,"Alderman"
"61","Alderman","District 4, City of Marksville","Edward C. Conway ",2014,"Avoyelles","DEM",201,2,2,0,0,0,"Alderman"
"62","Alderman","District 4, City of Marksville","Joyce P. Prier ",2014,"Avoyelles","DEM",72,2,2,0,0,0,"Alderman"
"63","Alderman","District 4, City of Springhill","Adam Harris ",2014,"Webster","REP",148,3,1,1,0,1,"Alderman"
"64","Alderman","District 4, City of Springhill","Gary Montgomery ",2014,"Webster","DEM",104,3,1,1,0,1,"Alderman"
"65","Alderman","District 4, City of Springhill","Martha Edens ",2014,"Webster","OTHER",72,3,1,1,0,1,"Alderman"
"66","Alderman","District 4, Town of Newellton","Alex Watson ",2016,"Tensas","DEM",40,2,2,0,0,0,"Alderman"
"67","Alderman","District 4, Town of Newellton","Mattie Sampson ",2016,"Tensas","DEM",50,2,2,0,0,0,"Alderman"
"68","Alderman","District 4, Town of Simmesport","Marsha Strong ",2016,"Avoyelles","DEM",50,2,2,0,0,0,"Alderman"
"69","Alderman","District 4, Town of Simmesport","Sherman Bell ",2016,"Avoyelles","DEM",112,2,2,0,0,0,"Alderman"
"70","Alderman","District 5, City of Marksville","Clyde Danny Benson ",2014,"Avoyelles","DEM",221,2,2,0,0,0,"Alderman"
"71","Alderman","District 5, City of Marksville","Richard W. Tassin ",2014,"Avoyelles","DEM",120,2,2,0,0,0,"Alderman"
"72","Alderman","District 5, Town of Benton","""Tommy"" Hill ",2016,"Bossier","DEM",58,2,1,0,1,0,"Alderman"
"73","Alderman","District 5, Town of Benton","Wayne Cathcart ",2016,"Bossier","NOPTY",101,2,1,0,1,0,"Alderman"
"74","Alderman","District 5, Town of Newellton","""Lavonne"" Garner ",2016,"Tensas","REP",108,2,1,1,0,0,"Alderman"
"75","Alderman","District 5, Town of Newellton","Jeraldine London ",2016,"Tensas","DEM",28,2,1,1,0,0,"Alderman"
"76","Alderman","District A, City of Breaux Bridge","Brenda Castille Hobbs ",2014,"St. Martin","REP",529,2,1,1,0,0,"Alderman"
"77","Alderman","District A, City of Breaux Bridge","Gereline ""Geri"" Frederick ",2014,"St. Martin","DEM",283,2,1,1,0,0,"Alderman"
"78","Alderman","District A, City of Opelousas","Betty Hanchett ",2014,"St. Landry","DEM",394,3,2,0,1,0,"Alderman"
"79","Alderman","District A, City of Opelousas","Julius Alsandor ",2014,"St. Landry","DEM",591,3,2,0,1,0,"Alderman"
"80","Alderman","District A, City of Opelousas","Lashae Sonnier ",2014,"St. Landry","NOPTY",121,3,2,0,1,0,"Alderman"
"81","Alderman","District A, Town of Delhi","Danniel Dixon ",2014,"Richland","DEM",174,2,2,0,0,0,"Alderman"
"82","Alderman","District A, Town of Delhi","Larry W. Rancher ",2014,"Richland","DEM",65,2,2,0,0,0,"Alderman"
"83","Alderman","District A, Town of Farmerville","Robert Allen ",2016,"Union","DEM",172,2,1,0,0,1,"Alderman"
"84","Alderman","District A, Town of Farmerville","Wayne ""Pone"" Jones ",2016,"Union","OTHER",120,2,1,0,0,1,"Alderman"
"85","Alderman","District A, Town of Jonesboro","""Randy"" Layfield ",2014,"Jackson","REP",240,3,1,2,0,0,"Alderman"
"86","Alderman","District A, Town of Jonesboro","Craig W. Williams ",2014,"Jackson","DEM",95,3,1,2,0,0,"Alderman"
"87","Alderman","District A, Town of Jonesboro","Heather Graham ",2014,"Jackson","REP",18,3,1,2,0,0,"Alderman"
"88","Alderman","District B, City of Breaux Bridge","Howard ""Doc"" Alexander ",2014,"St. Martin","DEM",286,2,2,0,0,0,"Alderman"
"89","Alderman","District B, City of Breaux Bridge","Michael J. ""T-Mike"" Breaux ",2014,"St. Martin","DEM",102,2,2,0,0,0,"Alderman"
"90","Alderman","District B, City of Opelousas","J. ""Tyrone"" Glover ",2014,"St. Landry","DEM",717,2,2,0,0,0,"Alderman"
"91","Alderman","District B, City of Opelousas","Louis Butler, Jr. ",2014,"St. Landry","DEM",547,2,2,0,0,0,"Alderman"
"92","Alderman","District B, Town of Delhi","Bobby Benson ",2014,"Richland","NOPTY",127,2,1,0,1,0,"Alderman"
"93","Alderman","District B, Town of Delhi","Larry Houston ",2014,"Richland","DEM",84,2,1,0,1,0,"Alderman"
"94","Alderman","District B, Town of Farmerville","Arthur C. ""Boots"" Hackney ",2016,"Union","DEM",34,5,5,0,0,0,"Alderman"
"95","Alderman","District B, Town of Farmerville","Johnnie ""Jackie"" Ellison ",2016,"Union","DEM",33,5,5,0,0,0,"Alderman"
"96","Alderman","District B, Town of Farmerville","Kenneth Dixon ",2016,"Union","DEM",61,5,5,0,0,0,"Alderman"
"97","Alderman","District B, Town of Farmerville","Lavelle Maine ",2016,"Union","DEM",114,5,5,0,0,0,"Alderman"
"98","Alderman","District B, Town of Farmerville","Thomas E. Nation ",2016,"Union","DEM",94,5,5,0,0,0,"Alderman"
"99","Alderman","District B, Town of Jonesboro","Douglas Cary ",2014,"Jackson","REP",60,3,0,3,0,0,"Alderman"
"100","Alderman","District B, Town of Jonesboro","Robbie Siadek ",2014,"Jackson","REP",148,3,0,3,0,0,"Alderman"
"101","Alderman","District B, Town of Jonesboro","Stacy Byrd Strickland ",2014,"Jackson","REP",91,3,0,3,0,0,"Alderman"
"102","Alderman","District C, City of Ville Platte","""Mike"" Perron ",2014,"Evangeline","DEM",428,2,2,0,0,0,"Alderman"
"103","Alderman","District C, City of Ville Platte","Anna L. Frank ",2014,"Evangeline","DEM",145,2,2,0,0,0,"Alderman"
"104","Alderman","District C, Town of Farmerville","Caroline Gatson ",2016,"Union","DEM",117,2,2,0,0,0,"Alderman"
"105","Alderman","District C, Town of Farmerville","Sharon I. Dixson ",2016,"Union","DEM",82,2,2,0,0,0,"Alderman"
"106","Alderman","District C, Town of Jonesboro","Aaron ""Pete"" Stringer ",2014,"Jackson","DEM",201,2,2,0,0,0,"Alderman"
"107","Alderman","District C, Town of Jonesboro","Charla Mason-Melton ",2014,"Jackson","DEM",165,2,2,0,0,0,"Alderman"
"108","Alderman","District C, Town of St. Joseph","Jerry Newman ",2016,"Tensas","DEM",60,2,2,0,0,0,"Alderman"
"109","Alderman","District C, Town of St. Joseph","Terry Britton ",2016,"Tensas","DEM",33,2,2,0,0,0,"Alderman"
"110","Alderman","District D, City of Opelousas","Rachel T. Babineaux ",2014,"St. Landry","NOPTY",363,2,1,0,1,0,"Alderman"
"111","Alderman","District D, City of Opelousas","Sherell Roberts ",2014,"St. Landry","DEM",544,2,1,0,1,0,"Alderman"
"112","Alderman","District D, City of Ville Platte","Freddie ""Rev"" Jack ",2014,"Evangeline","DEM",259,2,2,0,0,0,"Alderman"
"113","Alderman","District D, City of Ville Platte","Lionel ""Coach"" Anderson ",2014,"Evangeline","DEM",250,2,2,0,0,0,"Alderman"
"114","Alderman","District D, Town of Delhi","Lennon ""Butch"" Whitney ",2014,"Richland","DEM",100,2,2,0,0,0,"Alderman"
"115","Alderman","District D, Town of Delhi","Marvin Hamilton ",2014,"Richland","DEM",110,2,2,0,0,0,"Alderman"
"116","Alderman","District D, Town of Farmerville","Charles ""Charlie"" Young ",2016,"Union","DEM",67,3,3,0,0,0,"Alderman"
"117","Alderman","District D, Town of Farmerville","Gerome Nation ",2016,"Union","DEM",126,3,3,0,0,0,"Alderman"
"118","Alderman","District D, Town of Farmerville","Ricky Johnikin ",2016,"Union","DEM",115,3,3,0,0,0,"Alderman"
"119","Alderman","District D, Town of Jonesboro","""John"" Williams ",2014,"Jackson","DEM",133,3,3,0,0,0,"Alderman"
"120","Alderman","District D, Town of Jonesboro","Devin Flowers ",2014,"Jackson","DEM",180,3,3,0,0,0,"Alderman"
"121","Alderman","District D, Town of Jonesboro","John ""Toe"" Bradley ",2014,"Jackson","DEM",72,3,3,0,0,0,"Alderman"
"122","Alderman","District E, City of Opelousas","Jacqueline Angelle Martin ",2014,"St. Landry","DEM",476,5,5,0,0,0,"Alderman"
"123","Alderman","District E, City of Opelousas","Johnny ""JT"" Tolbert ",2014,"St. Landry","DEM",61,5,5,0,0,0,"Alderman"
"124","Alderman","District E, City of Opelousas","Melvin ""Mitch"" Richard ",2014,"St. Landry","DEM",176,5,5,0,0,0,"Alderman"
"125","Alderman","District E, City of Opelousas","Paul Gennuso ",2014,"St. Landry","DEM",266,5,5,0,0,0,"Alderman"
"126","Alderman","District E, City of Opelousas","Paul J. Scott ",2014,"St. Landry","DEM",101,5,5,0,0,0,"Alderman"
"127","Alderman","District E, City of Ville Platte","Donald Sam ",2014,"Evangeline","DEM",257,3,3,0,0,0,"Alderman"
"128","Alderman","District E, City of Ville Platte","Earl Edward ",2014,"Evangeline","DEM",138,3,3,0,0,0,"Alderman"
"129","Alderman","District E, City of Ville Platte","Jerry Bottley ",2014,"Evangeline","DEM",182,3,3,0,0,0,"Alderman"
"130","Alderman","District E, Town of Delhi","Caroline Christman ",2014,"Richland","OTHER",127,2,1,0,0,1,"Alderman"
"131","Alderman","District E, Town of Delhi","W. B. ""Dub"" Sumner ",2014,"Richland","DEM",168,2,1,0,0,1,"Alderman"
"132","Alderman","District F, City of Ville Platte","Bryant Riggs ",2014,"Evangeline","DEM",195,3,3,0,0,0,"Alderman"
"133","Alderman","District F, City of Ville Platte","Nathaniel ""Nat"" Thomas ",2014,"Evangeline","DEM",121,3,3,0,0,0,"Alderman"
"134","Alderman","District F, City of Ville Platte","Shounda Smith Jack ",2014,"Evangeline","DEM",152,3,3,0,0,0,"Alderman"
"135","Alderman","Division A, Village of Rosedale","Carroll Devillier ",2016,"Iberville","DEM",265,2,1,1,0,0,"Alderman"
"136","Alderman","Division A, Village of Rosedale","Tricia Major Hurdle ",2016,"Iberville","REP",241,2,1,1,0,0,"Alderman"
"137","Alderman","Division C, Village of Rosedale","Dana N. Alexander ",2016,"Iberville","OTHER",272,2,1,0,0,1,"Alderman"
"138","Alderman","Division C, Village of Rosedale","Madonna Hutchinson ",2016,"Iberville","DEM",214,2,1,0,0,1,"Alderman"
"139","Alderman","Seat A, Town of Ball","""Gail"" Wilking ",2014,"Rapides","REP",1045,2,1,1,0,0,"Alderman"
"140","Alderman","Seat A, Town of Ball","Christine ""Chris"" Covington ",2014,"Rapides","DEM",389,2,1,1,0,0,"Alderman"
"141","Alderman","Seat B, Town of Ball","""Joey"" Short ",2014,"Rapides","REP",272,3,1,2,0,0,"Alderman"
"142","Alderman","Seat B, Town of Ball","Curtis ""Buster"" Robertson ",2014,"Rapides","REP",359,3,1,2,0,0,"Alderman"
"143","Alderman","Seat B, Town of Ball","Suzanne Duncan-Furby ",2014,"Rapides","DEM",822,3,1,2,0,0,"Alderman"
"144","Alderman","Seat C, Town of Ball","Gene Decker ",2014,"Rapides","REP",685,3,1,1,1,0,"Alderman"
"145","Alderman","Seat C, Town of Ball","Kimberly Lambright ",2014,"Rapides","NOPTY",423,3,1,1,1,0,"Alderman"
"146","Alderman","Seat C, Town of Ball","Willie Bishop ",2014,"Rapides","DEM",339,3,1,1,1,0,"Alderman"
"147","Alderman","Seat D, Town of Ball","Fay Giddings ",2014,"Rapides","DEM",260,3,2,1,0,0,"Alderman"
"148","Alderman","Seat D, Town of Ball","Kimberley Krischke ",2014,"Rapides","REP",618,3,2,1,0,0,"Alderman"
"149","Alderman","Seat D, Town of Ball","Terry B. Rutherford ",2014,"Rapides","DEM",575,3,2,1,0,0,"Alderman"
"150","Alderman","Seat E, Town of Ball","""Genny"" Poteet ",2014,"Rapides","DEM",704,2,2,0,0,0,"Alderman"
"151","Alderman","Seat E, Town of Ball","John Cearley, Sr. ",2014,"Rapides","DEM",703,2,2,0,0,0,"Alderman"
"152","Alderman","Town of Erath","Michael ""Mike"" Richard ",2016,"Vermilion","DEM",455,2,1,1,0,0,"Alderman"
"153","Alderman","Town of Erath","Taylor Mencacci ",2016,"Vermilion","REP",491,2,1,1,0,0,"Alderman"
"154","Alderman","Town of Port Barre","Nelson Barron ",2016,"St. Landry","DEM",421,2,1,1,0,0,"Alderman"
"155","Alderman","Town of Port Barre","Sammy Wayne Hardy II ",2016,"St. Landry","REP",368,2,1,1,0,0,"Alderman"
"156","Alderman","Village of Clarence","Carolyn Sawyer ",2016,"Natchitoches","DEM",95,2,2,0,0,0,"Alderman"
"157","Alderman","Village of Clarence","Irma Lee Anthony ",2016,"Natchitoches","DEM",117,2,2,0,0,0,"Alderman"
"158","Alderman","Village of Dodson","Candace Coonce ",2016,"Winn","REP",65,3,2,1,0,0,"Alderman"
"159","Alderman","Village of Dodson","Danny Browning ",2016,"Winn","DEM",60,3,2,1,0,0,"Alderman"
"160","Alderman","Village of Dodson","Sandra L. Holden ",2016,"Winn","DEM",56,3,2,1,0,0,"Alderman"
"161","Alderman","Village of Dry Prong","""Lisa"" Holton ",2016,"Grant","NOPTY",66,2,0,1,1,0,"Alderman"
"162","Alderman","Village of Dry Prong","Billy R. Chandler, Sr. ",2016,"Grant","REP",137,2,0,1,1,0,"Alderman"
"163","Alderman","Ward  1, City of Rayne","""Jim"" Salter ",2014,"Acadia","OTHER",22,4,2,1,0,1,"Alderman"
"164","Alderman","Ward  1, City of Rayne","Anna ""Ann"" Domingue-Washington ",2014,"Acadia","DEM",351,4,2,1,0,1,"Alderman"
"165","Alderman","Ward  1, City of Rayne","Curtrese Minix ",2014,"Acadia","DEM",343,4,2,1,0,1,"Alderman"
"166","Alderman","Ward  1, City of Rayne","Romel Charles ",2014,"Acadia","REP",90,4,2,1,0,1,"Alderman"
"167","Alderman","Ward  1, Town of Church Point","Adrian ""A D"" Duplechain ",2014,"Acadia","DEM",119,3,3,0,0,0,"Alderman"
"168","Alderman","Ward  1, Town of Church Point","Debra Guidry Thomas ",2014,"Acadia","DEM",84,3,3,0,0,0,"Alderman"
"169","Alderman","Ward  1, Town of Church Point","Gene Malbrough ",2014,"Acadia","DEM",251,3,3,0,0,0,"Alderman"
"170","Alderman","Ward  1, Town of Vivian","""Mandi"" Gildon Burton ",2014,"Caddo","NOPTY",103,2,0,0,2,0,"Alderman"
"171","Alderman","Ward  1, Town of Vivian","Glenn Miles ",2014,"Caddo","NOPTY",78,2,0,0,2,0,"Alderman"
"172","Alderman","Ward  2, City of Rayne","Aleke V. Kanonu, Jr. ",2014,"Acadia","NOPTY",197,3,1,0,1,1,"Alderman"
"173","Alderman","Ward  2, City of Rayne","Kenneth Guidry ",2014,"Acadia","OTHER",285,3,1,0,1,1,"Alderman"
"174","Alderman","Ward  2, City of Rayne","Larry J. Menard ",2014,"Acadia","DEM",266,3,1,0,1,1,"Alderman"
"175","Alderman","Ward  2, Town of Vivian","Denise Powell Alexander ",2014,"Caddo","NOPTY",159,2,0,1,1,0,"Alderman"
"176","Alderman","Ward  2, Town of Vivian","Robert L. Furlong ",2014,"Caddo","REP",108,2,0,1,1,0,"Alderman"
"177","Alderman","Ward  3, City of Rayne","Calise Michael Doucet ",2014,"Acadia","DEM",446,2,2,0,0,0,"Alderman"
"178","Alderman","Ward  3, City of Rayne","Daniel ""Big D"" Venable ",2014,"Acadia","DEM",409,2,2,0,0,0,"Alderman"
"179","Alderman","Ward  3, Division B, City of Crowley","Ezora J. Proctor ",2014,"Acadia","DEM",747,2,2,0,0,0,"Alderman"
"180","Alderman","Ward  3, Division B, City of Crowley","Walter Andrus ",2014,"Acadia","DEM",228,2,2,0,0,0,"Alderman"
"181","Alderman","Ward  3, Town of Church Point","Diane Fonte ",2014,"Acadia","REP",108,2,0,2,0,0,"Alderman"
"182","Alderman","Ward  3, Town of Church Point","Gary J. Duplechin ",2014,"Acadia","REP",217,2,0,2,0,0,"Alderman"
"183","Alderman","Ward  3, Town of Vivian","Gary Teer ",2014,"Caddo","DEM",20,3,2,1,0,0,"Alderman"
"184","Alderman","Ward  3, Town of Vivian","Judy Wilson ",2014,"Caddo","REP",214,3,2,1,0,0,"Alderman"
"185","Alderman","Ward  3, Town of Vivian","Monique Brown ",2014,"Caddo","DEM",52,3,2,1,0,0,"Alderman"
"186","Alderman","Ward  4, City of Rayne","Elaine ""Mama Wolf"" Sias ",2014,"Acadia","DEM",190,3,3,0,0,0,"Alderman"
"187","Alderman","Ward  4, City of Rayne","Gerald Foreman ",2014,"Acadia","DEM",311,3,3,0,0,0,"Alderman"
"188","Alderman","Ward  4, City of Rayne","James ""Jimmy"" Fontenot ",2014,"Acadia","DEM",430,3,3,0,0,0,"Alderman"
"189","Alderman","Ward  4, Division B, City of Crowley","""Mike"" Ritchie ",2014,"Acadia","DEM",87,3,2,1,0,0,"Alderman"
"190","Alderman","Ward  4, Division B, City of Crowley","""Tim"" Monceaux ",2014,"Acadia","DEM",516,3,2,1,0,0,"Alderman"
"191","Alderman","Ward  4, Division B, City of Crowley","John ""Larry"" DuBose ",2014,"Acadia","REP",293,3,2,1,0,0,"Alderman"
"192","Alderman","Ward  4, Town of Church Point","""Cathy Barousse"" Perkins ",2014,"Acadia","DEM",61,3,2,1,0,0,"Alderman"
"193","Alderman","Ward  4, Town of Church Point","""Chris"" LeBas ",2014,"Acadia","REP",120,3,2,1,0,0,"Alderman"
"194","Alderman","Ward  4, Town of Church Point","Robert Dale Wimberley ",2014,"Acadia","DEM",187,3,2,1,0,0,"Alderman"
"195","Alderman","Ward  4, Town of Vivian","Amanda Florence ",2014,"Caddo","NOPTY",36,3,2,0,1,0,"Alderman"
"196","Alderman","Ward  4, Town of Vivian","David Cole ",2014,"Caddo","DEM",64,3,2,0,1,0,"Alderman"
"197","Alderman","Ward  4, Town of Vivian","Raymond Earl Williams ",2014,"Caddo","DEM",107,3,2,0,1,0,"Alderman"
"198","Alderman","Ward  5, Town of Church Point","Donald LeJeune ",2014,"Acadia","DEM",92,2,2,0,0,0,"Alderman"
"199","Alderman","Ward  5, Town of Church Point","Errol ""Slu"" Comeaux ",2014,"Acadia","DEM",171,2,2,0,0,0,"Alderman"
"200","Alderman","Ward 1, City of Eunice","Jason Bertrand ",2014,"St. Landry","DEM",300,3,2,1,0,0,"Alderman"
"201","Alderman","Ward 1, City of Eunice","Jeremy Ortego ",2014,"St. Landry","REP",186,3,2,1,0,0,"Alderman"
"202","Alderman","Ward 1, City of Eunice","Marshall A. Thibodeaux ",2014,"St. Landry","DEM",291,3,2,1,0,0,"Alderman"
"203","Alderman","Ward 1, City of Ruston","""Fred"" Blake ",2014,"Lincoln","DEM",342,3,3,0,0,0,"Alderman"
"204","Alderman","Ward 1, City of Ruston","Carolyn B. Elmore-Cage ",2014,"Lincoln","DEM",297,3,3,0,0,0,"Alderman"
"205","Alderman","Ward 1, City of Ruston","Glenda Howard ",2014,"Lincoln","DEM",171,3,3,0,0,0,"Alderman"
"206","Alderman","Ward 2, City of Ruston","Angela Mayfield ",2014,"Lincoln","DEM",469,3,3,0,0,0,"Alderman"
"207","Alderman","Ward 2, City of Ruston","Rosalind Jones ",2014,"Lincoln","DEM",168,3,3,0,0,0,"Alderman"
"208","Alderman","Ward 2, City of Ruston","Sharonda Cage Hatter ",2014,"Lincoln","DEM",432,3,3,0,0,0,"Alderman"
"209","Alderman","Ward 3, City of Eunice","James ""Jr."" Bergeron ",2014,"Multi-Parish Race","REP",418,2,1,1,0,0,"Alderman"
"210","Alderman","Ward 3, City of Eunice","Marion ""Nootsie"" Sattler ",2014,"Multi-Parish Race","DEM",540,2,1,1,0,0,"Alderman"
"211","Alderman","Ward 4, City of Ruston","""Judi"" Null ",2014,"Lincoln","REP",544,2,0,2,0,0,"Alderman"
"212","Alderman","Ward 4, City of Ruston","Jim Pearce ",2014,"Lincoln","REP",588,2,0,2,0,0,"Alderman"
"213","Alderman","Ward 5, City of Ruston","Bruce Siegmund ",2014,"Lincoln","OTHER",329,3,2,0,0,1,"Alderman"
"214","Alderman","Ward 5, City of Ruston","Marie S. Riggs ",2014,"Lincoln","DEM",264,3,2,0,0,1,"Alderman"
